*Material,Country,Stage,Value
Aluminum,UnitedStates,Production,670000
Aluminum,Australia,Production,1500000
Aluminum,Bahrain,Production,1600000
Aluminum,Brazil,Production,1100000
Aluminum,Canada,Production,3300000
Aluminum,China,Production,43000000
Aluminum,Iceland,Production,780000
Aluminum,India,Production,4200000
Aluminum,Malaysia,Production,870000
Aluminum,Norway,Production,1300000
Aluminum,Russia,Production,3800000
Aluminum,UnitedArabEmirates,Production,2700000
Aluminum,Othercountries,Production,6800000
Aluminum,UnitedStates,ProductionCapacity,1360000
Aluminum,Australia,ProductionCapacity,1730000
Aluminum,Bahrain,ProductionCapacity,1600000
Aluminum,Brazil,ProductionCapacity,1280000
Aluminum,Canada,ProductionCapacity,3270000
Aluminum,China,ProductionCapacity,44700000
Aluminum,Iceland,ProductionCapacity,880000
Aluminum,India,ProductionCapacity,4200000
Aluminum,Malaysia,ProductionCapacity,1080000
Aluminum,Norway,ProductionCapacity,1460000
Aluminum,Russia,ProductionCapacity,4080000
Aluminum,UnitedArabEmirates,ProductionCapacity,2790000
Aluminum,Othercountries,ProductionCapacity,10000000
Boron,UnitedStates,Production,0
Boron,Argentina,Production,160000
Boron,Bolivia,Production,230000
Boron,Chile,Production,420000
Boron,China,Production,340000
Boron,Germany,Production,40000
Boron,Peru,Production,300000
Boron,Russia,Production,80000
Boron,Turkey,Production,3000000
Boron,UnitedStates,Reserves,48000000
Boron,Chile,Reserves,35000000
Boron,China,Reserves,9100000
Boron,Peru,Reserves,4000000
Boron,Russia,Reserves,40000000
Boron,Turkey,Reserves,950000000
Cadmium,UnitedStates,Production,300
Cadmium,Australia,Production,900
Cadmium,Bulgaria,Production,300
Cadmium,Canada,Production,1700
Cadmium,China,Production,9300
Cadmium,Germany,Production,170
Cadmium,Japan,Production,1700
Cadmium,Kazakhstan,Production,1000
Cadmium,RepublicofKorea,Production,4500
Cadmium,Mexico,Production,1200
Cadmium,Netherlands,Production,400
Cadmium,Norway,Production,350
Cadmium,Peru,Production,620
Cadmium,Poland,Production,250
Cadmium,Russia,Production,800
Cadmium,Uzbekistan,Production,200
Chromium,Brazil,Production,1400000
Chromium,Finland,Production,1900000
Chromium,India,Production,4100000
Chromium,Kazakhstan,Production,6500000
Chromium,SouthAfrica,Production,21000000
Chromium,Turkey,Production,8000000
Chromium,Zimbabwe,Production,1100000
Chromium,Othercountries,Production,2900000
Chromium,UnitedStates,Reserves,630000
Chromium,Brazil,Reserves,6600000
Chromium,Finland,Reserves,8300000
Chromium,India,Reserves,79000000
Chromium,Kazakhstan,Reserves,320000000
Chromium,SouthAfrica,Reserves,200000000
Chromium,Turkey,Reserves,27000000
Chromium,Zimbabwe,Reserves,540000000
Cobalt,UnitedStates,Production,300
Cobalt,Australia,Production,3600
Cobalt,Canada,Production,4500
Cobalt,Congo,Production,220000
Cobalt,Cuba,Production,3500
Cobalt,Indonesia,Production,28000
Cobalt,Madagascar,Production,2600
Cobalt,NewCaledonia,Production,1500
Cobalt,PapuaNewGuinea,Production,2800
Cobalt,Philippines,Production,3800
Cobalt,Russia,Production,8700
Cobalt,Turkey,Production,2700
Cobalt,Othercountries,Production,6200
Cobalt,UnitedStates,Reserves,70000
Cobalt,Australia,Reserves,1700000
Cobalt,Canada,Reserves,220000
