"Dim1","Dim2","Dim3","Dim4","Val"
"0","Aluminum","UnitedStates","ratio",670000
"0","Aluminum","UnitedStates","abs",872294.747148642
"0","Aluminum","Australia","ratio",1500000
"0","Aluminum","Australia","abs",1702294.74786643
"0","Aluminum","Bahrain","ratio",1600000
"0","Aluminum","Bahrain","abs",1802294.74667977
"0","Aluminum","Brazil","ratio",1100000
"0","Aluminum","Brazil","abs",1302294.74729026
"0","Aluminum","Canada","ratio",3300000
"0","Aluminum","Canada","abs",3502294.74608396
"0","Aluminum","China","ratio",43000000
"0","Aluminum","China","abs",43266003.9881034
"0","Aluminum","Iceland","ratio",780000
"0","Aluminum","Iceland","abs",982294.747041612
"0","Aluminum","India","ratio",4200000
"0","Aluminum","India","abs",4402294.74721774
"0","Aluminum","Malaysia","ratio",870000
"0","Aluminum","Malaysia","abs",1072294.74704186
"0","Aluminum","Norway","ratio",1300000
"0","Aluminum","Norway","abs",1502294.74703415
"0","Aluminum","Russia","ratio",3800000
"0","Aluminum","Russia","abs",4002294.74704541
"0","Aluminum","UnitedArabEmirates","ratio",2700000
"0","Aluminum","UnitedArabEmirates","abs",2902294.74725823
"0","Aluminum","Othercountries","ratio",6800000
"0","Aluminum","Othercountries","abs",7002294.74702234
"0","Boron","China","ratio",340000
"0","Boron","China","abs",371101.429468536
"0","Boron","Russia","ratio",80000
"0","Boron","Russia","abs",111101.43086623
"0","Boron","Argentina","ratio",160000
"0","Boron","Argentina","abs",191101.428180533
"0","Boron","Bolivia","ratio",230000
"0","Boron","Bolivia","abs",261101.427220718
"0","Boron","Chile","ratio",420000
"0","Boron","Chile","abs",451101.426199672
"0","Boron","Germany","ratio",40000
"0","Boron","Germany","abs",71101.4255905261
"0","Boron","Peru","ratio",300000
"0","Boron","Peru","abs",331101.427253845
"0","Boron","Turkey","ratio",3000000
"0","Boron","Turkey","abs",3039981.75517824
"0","Cadmium","UnitedStates","ratio",300
"0","Cadmium","UnitedStates","abs",302.053776455495
"0","Cadmium","Australia","ratio",900
"0","Cadmium","Australia","abs",905.107710934807
"0","Cadmium","Canada","ratio",1700
"0","Cadmium","Canada","abs",1702.49417935468
"0","Cadmium","China","ratio",9300
"0","Cadmium","China","abs",9300.66517110666
"0","Cadmium","Norway","ratio",350
"0","Cadmium","Norway","abs",353.684155573517
"0","Cadmium","Russia","ratio",800
"0","Cadmium","Russia","abs",801.134829472239
"0","Cadmium","Germany","ratio",170
"0","Cadmium","Germany","abs",172.705560155442
"0","Cadmium","Peru","ratio",620
"0","Cadmium","Peru","abs",623.76594767513
"0","Cadmium","Bulgaria","ratio",300
"0","Cadmium","Bulgaria","abs",302.357889212672
"0","Cadmium","Japan","ratio",1700
"0","Cadmium","Japan","abs",1702.24226200942
"0","Cadmium","Kazakhstan","ratio",1000
"0","Cadmium","Kazakhstan","abs",1000.19191215188
"0","Cadmium","RepublicofKorea","ratio",4500
"0","Cadmium","RepublicofKorea","abs",4501.57821024162
"0","Cadmium","Mexico","ratio",1200
"0","Cadmium","Mexico","abs",1203.92411545737
"0","Cadmium","Netherlands","ratio",400
"0","Cadmium","Netherlands","abs",401.590277199687
"0","Cadmium","Poland","ratio",250
"0","Cadmium","Poland","abs",259.31486956502
"0","Cadmium","Uzbekistan","ratio",200
"0","Cadmium","Uzbekistan","abs",157.186345623629
"0","Chromium","Brazil","ratio",1400000
"0","Chromium","Brazil","abs",1399999.99999545
"0","Chromium","India","ratio",4100000
"0","Chromium","India","abs",4099999.99999637
"0","Chromium","Othercountries","ratio",2900000
"0","Chromium","Othercountries","abs",2899999.99999817
"0","Chromium","Turkey","ratio",8000000
"0","Chromium","Turkey","abs",7999999.99999842
"0","Chromium","Kazakhstan","ratio",6500000
"0","Chromium","Kazakhstan","abs",6499999.99999853
"0","Chromium","Finland","ratio",1900000
"0","Chromium","Finland","abs",1900000.00001031
"0","Chromium","SouthAfrica","ratio",21000000
"0","Chromium","SouthAfrica","abs",20999999.9999987
"0","Chromium","Zimbabwe","ratio",1100000
"0","Chromium","Zimbabwe","abs",1099999.99999611
"0","Cobalt","UnitedStates","ratio",300
"0","Cobalt","UnitedStates","abs",9903.20725824043
"0","Cobalt","Australia","ratio",3600
"0","Cobalt","Australia","abs",13203.2217031371
"0","Cobalt","Canada","ratio",4500
"0","Cobalt","Canada","abs",14103.2225076582
"0","Cobalt","Russia","ratio",8700
"0","Cobalt","Russia","abs",18303.2204920301
"0","Cobalt","Othercountries","ratio",6200
"0","Cobalt","Othercountries","abs",15803.2208192042
"0","Cobalt","Turkey","ratio",2700
"0","Cobalt","Turkey","abs",12303.2220381366
"0","Cobalt","Congo","ratio",220000
"0","Cobalt","Congo","abs",103803.439190289
"0","Cobalt","Cuba","ratio",3500
"0","Cobalt","Cuba","abs",13103.2205373016
"0","Cobalt","Indonesia","ratio",28000
"0","Cobalt","Indonesia","abs",38633.9258203964
"0","Cobalt","Madagascar","ratio",2600
"0","Cobalt","Madagascar","abs",12203.2236239119
"0","Cobalt","NewCaledonia","ratio",1500
"0","Cobalt","NewCaledonia","abs",11103.2250694671
"0","Cobalt","PapuaNewGuinea","ratio",2800
"0","Cobalt","PapuaNewGuinea","abs",12403.2214571666
"0","Cobalt","Philippines","ratio",3800
"0","Cobalt","Philippines","abs",13403.2207675479
"0","Copper","UnitedStates","ratio",1100000
"0","Copper","UnitedStates","abs",1100000.00032354
"0","Copper","Australia","ratio",800000
"0","Copper","Australia","abs",800000.000277129
"0","Copper","Canada","ratio",450000
"0","Copper","Canada","abs",450000.000924639
"0","Copper","China","ratio",1800000
"0","Copper","China","abs",1800000.00031812
"0","Copper","India","ratio",30000
"0","Copper","India","abs",29999.990796491
"0","Copper","Russia","ratio",930000
"0","Copper","Russia","abs",930000.000482116
"0","Copper","Othercountries","ratio",2700000
"0","Copper","Othercountries","abs",2700000.0003194
"0","Copper","Chile","ratio",5300000
"0","Copper","Chile","abs",5300000.00032021
"0","Copper","Peru","ratio",2600000
"0","Copper","Peru","abs",2600000.00032148
"0","Copper","Kazakhstan","ratio",740000
"0","Copper","Kazakhstan","abs",740000.000326693
"0","Copper","Mexico","ratio",700000
"0","Copper","Mexico","abs",700000.000329856
"0","Copper","Poland","ratio",410000
"0","Copper","Poland","abs",409999.99975149
"0","Copper","Congo","ratio",3300000
"0","Copper","Congo","abs",3300000.0003158
"0","Copper","Indonesia","ratio",1100000
"0","Copper","Indonesia","abs",1100000.00033105
"0","Copper","Zambia","ratio",680000
"0","Copper","Zambia","abs",680000.000334931
"0","RareEarths","UnitedStates","ratio",45000
"0","RareEarths","UnitedStates","abs",46981.8866771591
"0","RareEarths","Australia","ratio",13000
"0","RareEarths","Australia","abs",14981.9090863679
"0","RareEarths","Brazil","ratio",20
